author,text,time,rating
Andre,5 years ago,Scotiabank is just a terrible bank all around. I thought it would just be one branch but these people are just all around terrible. They don't seem to understand good customer service. Give your business to an independent bank who knows good customer service. You walk in and there's a long line with financial advisers sitting around in their cubicle not willing to help anyone or triage like TD bank. They follow their rigid rules without applying common sense to the situation. I showed them about a dozen pieces of id but unless they wanted one that was on their list they were unwilling (but not unable) to help me. I even logged in to my mobile bank account to show them it was my account. Will no longer consider this bank for any of my financial needs.,1
Karlee Bamford,2 years ago,"Today I had two extremely different interactions with employees from this branch; the one they call Jestina should be reprimanded for her poor customer service (as others here have said in their reviews). I apparently dropped by credit card and someone found it and turned in at this branch. I received a super friendly & helpful phone call from the branch saying that it had been found and that I could come in any time before closing with my debit card & ID to claim it. So when I went to get it I was made to feel like I was crazy, that I was trying to steal someone else's card and that it was impossible that the card had been handed in. The teller called Jestina was incredibly rude to me, she wouldn't listen to me the 3 or 4 times I tried to tell her it was a lost-and-found situation and that I was NOT there to collect a newly issued credit card. When I finally got through to her with that info she was extremely annoyed that I ""didn't tell her that"" and she had been looking in the wrong place the whole time. She told me that next time the bank called me, or if anyone called me for that matter, that I should record their name and phone number - there's simply no way she could help me in this situation without this information. She asked me probably 6-7 times ""WHO called you? WHO called you?"". All three of the other tellers standing on either side of her were staring and giving me sympathetic eyes. Finally the person from the front entrance desk came off of their coffee break and - wow! - problems immediately resolved. Card returned. So. Incredibly. Unnecessarily. Frustrating.",1
Finance Horse,3 years ago,Was turned away from the branch twice saying no advisor available to attend me. Also said cannot book appointment for another branch even though its possible. Customer service 0.  Requests declined.   no intention to solve customer issues or retain business.,1
Adam O'Brien,5 years ago,"Absolutely terrible bank. Rude customer service reps who won't lift a finger to go out of there way to help you. I'm a student and every year they switch my bank account back to a regular account without warning, and I end up paying service fees. They absolutely refuse to even give me a heads up before doing this.

On top of this, their branch hours are ridiculous... often closing at 4 pm on weekdays, very limited saturday hours and no sunday hours (virtually all other banks have sunday hours now). Terrible bank, go with TD if you want a half decent bank.",1
Edward (Kawaii Reviews and More),4 years ago,"Where customer service goes to die.

I??e had the worst experience with the branch manager (Norman?). Complete and utter disregard for customers, concerns or inquiries. Having been falsely charged for purchases not authorized on my behalf, he was unable to provide any appropriate guidance and simply told me to speak with the agent over the phone....while I was still on hold for nearly 45 minutes when speaking with him. No help whatsoever to resolve any issue. This branch and the one located in Scarborough Town Centre is where dreams end and customer service is a disaster.",1
Jennifer Fernandes,6 years ago,"Very poor service. I went in last Saturday to add my husband to my account. I was told the service needed to be done at my home branch. When I went to my home branch today and asked about it, the teller told me that it could be done at any branch. The branch staff here are very unmotivated and I would expect better service from a bank, especially scotiabank. To lie to a customer to avoid doing a task that is part of your role is very unprofessional.",1
Sergio Marino,3 years ago,"Very bad teller!  Wanted to make a deposit to my Line of Credit and I then wanted to know what the balance outstanding remaining was.  I had a Scotia Visa with a the pin and a Scotia Bank card and she wouldn't give it to me.  Started asking me questions about balances on my cards, THAT is what I was there for, to get the answers from her, and she wanted them from me!!!!!  She said she was to verify me!!  I told her this is my Driver license..she said not good enough .....OMG what a Joke of a Branch",1
Rosemarie Taylor,3 years ago,"Most AMAZING Financial Institution ??
I have been a loyal and very happy Scotiabank  client for most of my banking  days.
The Scotiabank branch at 19 Bloor  Street West is beyond our high expectations.
Excellent and professional service with incredible staff.
Our immense thanks to Mr. David Kim for always providing us with the best financial advice with such a friend,6 manner. This branch always seems to attract and select the best staff...  Branch members , financial advisors .thanks to you all...
Dan and Dillon and your team.
??Rosemarie and Stephen Taylor",5
D Ding,4 years ago,"The branch does have a lot of staff, but I don?? think the manager manages the logistics well. It is just tooo slow. I have been waiting at service and reception for 30 mind, and there are only 2 ppl in front me when I start my queue...And not even to mention Scotiabank always does not have enough branches and close early..the staff are very nice but some of them are with poor knowledge..",1
Sule McGowan,4 years ago,"I had a simple task of getting change.  I wanted $5 bills for tips for an upcoming event.  I only had $20s.  Because she only had a couple of $5s she gave me them and rest in $10 (rather then getting more from the teller sitting next to her or from someone else) then she asked me to go back and line up again in a very rude manner.  By this time, line was really long.  No basic customer service culture in this branch at all!",1
author,text,time,rating
Boyan Lepoev,2 years ago,"I already feel pity for you, for looking at Scotiabank and its products. 1 star for deceptive targeted marketing, followed by breaking each promise in the original email and now dodging calls. This branch does not feature any particularly helpful people either, including the manager who seems absolutely powerless to provide actual customer service in response to valid complaints. Happy to provide proof to whoever cares. Stay away from this institution, go with one of the other banks.",1
Prasoeur Suon,a year ago,"The worst. First, they set appointment with an employee who stopped working there. Second, they did with an employee who is off on the day of appointment. The rate is higher than other institutions.

Not sure if it's the branch, or scotiabank in general. Or they don't like doing business. Very poor service!!!!!",1
Luke Maynard,2 years ago,"EDIT: When I first moved here, I called this ""a toxic branch with impossible hours."" I don't know if they've come under new management or what, but this branch has been completely renovated, transformed top to bottom, and given some of the best extended hours on a bank branch anywhere in Toronto. This was my least favourite branch  and in the space of two years or so they've completely turned themselves around. Highly recommended, but only in the last 6 months or so. Let's hope they keep everything this great, because the other reviews point out what they used to be like.",5
M M,4 years ago,"Terrible service, unprofessional, was told to look up their bank products online when I was at the teller, why would you ever say that to a customer at your branch?  Going into a branch is for face-to-face interaction, and if you don't know your bank products and need to ask the customer to look online is a terrible way to resolve an inquiry.

Called me from the line up to go to the desk but was not at all ready to help, was fidgeting with money and doing other tasks, I would be fine to wait in line if the teller was not ready to help yet, but instead called me to go over while still working on unfinished tasks and I was standing there for another 5 minutes after my initial question.

Just poorly trained staff, perhaps I was unlucky that day visiting this Scotiabank branch.",1
Mike B,a year ago,"Teller told us don?? show up here again 15 minutes before we close and then when we finished our transaction some other employee yelled at us as he ushered us out.

What is wrong with your location? I am calling head office to report this behaviour to your clients, what a joke.",1
V K,4 years ago,"Inconvenient hours and unhelpful, inflexible staff. I've had credit cards and a mortgage thru them, and based on the deplorable customer service I've received over and over, I will never do business with them again. If they're going to insist you visit a branch for every tiny thing then they need to make their hours more realistic - what working professional can make it to a bank between 9:30 and 4:30?",1
Naser Deen,3 years ago,"This bank is in a sharp decline. I purchased airline ticket in USD and the exchange rate is absolutely disgusting, as if they have done anything special to deduct 20$ extra out of my checking account. I had another issue and called multiple times, they told me we resolved  the issue and here is confirmation number waited couple of days to see the reflection on my checking account...Nothing !! As if I wasted my  effort time voice mental  for nothing.

I think people should start suing bank of Nova Scotia and it?? terrible careless mangers. Haven?? seen a country that love to rip people out with unnecessarily fees, high exchange rates, high interest rate, yet delivering the service of greyhound bus company !!!!  Do not sign with them, do not deal with them and tell people around you to avoid this institution. Even my scene points declined from 15 free movie to 3 without explanation. Get out!!",1
In?cia Lopes,3 years ago,I'm very happy with my customer service today. Specially because the bank had power off for a couple minutes and during this time most of the staff were very calm and kind. I waited for around 10-15 minutes but I left the bank with smile.,4
Hollywood 1892,3 years ago,"It's a Bank,they deal with copious amounts of money. I don't understand the bad reviews,are customers really that shallow? This bank,and the manager there,she knows who she is,should take pride in the excellent service they provide their customers. I've been in two financial situations that could have proved costly,and they bailed me out. Excellent Bank,shame on the whiners who posted negative reviews on here.",5
Georgio Galiano (Geo),3 years ago,"Considering that they are the only branch in the entire Bloor/Yonge/Yorkville area, with only 2 ATMs that are usually broken, out of service or out of the envelopes, and very short business hours, this is the highest rating I could give them. The people working there are very nice and helpful but the abscence of functional ATMs, the fact that they are short staffed and have unbelievably long line ups and short business hours is frustrating. It is interesting that I spoke to someone at the head office trying to address these issues and my impression was that they are not interested in serving customers at all, so the problem appears to be at the higher level.  I was told that people mostly do mobile banking nowadays, that branches and ATMs are basically not needed, and that I could do a deposit with my mobile phone and then go to a 7/11 store on Bay st. to take money out. The fact that I have a business account and need to deposit cash at the end of the day was of no interest to them.",1
author,text,time,rating
Hemal Parikh,a year ago,"Horrible telephone service. The employee pick up the phone and didn't responded. I can clearly understand, the receiver  clearly hear me but doesn't want to respond. After that he divert me on another number. I will changed my bank for sure.",1
Bill Edwards,3 years ago,"Wow. I was trying to get my 15 year old sons lost bankcard issued. I pulled out my health card instead of my licence. The brown lady teller loudly told me there was a 25,000 dollar fine for bringing out my healthcard in a bank. She asked me to write down my sons name on a paper.....then she asked me if it was my sons name, what a moron? This is the Scotiabank branch where the idiots go and flourish.",1
jinyuan cai,5 years ago,"Scotialbank is really a terrible bank ! Who the hell closes at 4:00 pm on a busy working day on Wednesday ? The employee in the bank on bloor 19 th location is impatient even when it is not 4:00 pm yet. Everyone wants to leave right on 4:00 . The customer has to say sorry I have kept you late.

In addition , I made an appointment at 4:00 pm to see the adviser and they told us no adviser is available at 4:00 and suggested me to leave and book another time .

In comparison , TD is so much better no matter in operational efficiency and attitude toward custoemrs.

I strongly encourage people not to come to this branch and think of other banks when making a decision .

What a terrible day with Scotialbank!

0 star for sure !",1
Jose Ceron,3 years ago,"I went in to confirm my student enrollment for a student account to get back bank charges that shouldn't be on a student account (as I'd done at another Scotiabank before) and they told me they wouldn't do it so I should go to another branch because ""they don't do that at this branch"". I don't understand. Rude customer service too.",1
Kameron -,7 years ago,Absolute fail. 2x I've been here now and they have been unacommodating and barely competitive much less unfriendly and approachable. Mostly because it isn't my home branch from what I've been told. Scotia. You need to get your branches aligned with telephone services in understanding your products. Disappointing. I certainly won't be renewing my mortgage,1
RoadRunner - 855,3 years ago,Never had an issue here. I lost all my id once and they still helped me replace my debit card. It took a while to answer the security questions but in the end they treated me good and I got what I wanted.,5
Indranil Dutta,3 years ago,Worst service ever experienced. The brown lady in front desk knows nothing. I went to open an account and she said I can only visit adviser if I have multiple documents. I already opened an account online and the mail clearly states any one like PR/driver's license is fine. Never going back.,1
Miss Miminis,5 years ago,"Too many stories to fit in one review. These tellers are sooooo stupid they are boarder line Retarded. The men are fine but lady tellers can't count can't read can't even do banking, I have a laundry list of personal experiences that I could tell",1
Krunal Pandit,4 years ago,This branch is at a convenient location. It offers quick and efficient service. The branch manager is very accommodative for new customers even when a meeting is not scheduled for specific service. We always want to go to a branch where employees are humble and efficient at the same time.,5
Stive Scotish,5 years ago,I had a complaint against a staff. I told manager and he did his best to solve the problem. I gave very bad One Star for that clerk-female; and was unable to give more than two stars; although Manager Conduct is really Five Star,2
author,text,time,rating
Hann Ben,6 years ago,"My guest a Japanese young student, who came to your branch in April 2016 and deposited 490.00 without the envelope, and her money never reached her account, because there was no envelop.
She had contacted the branch many times, the supervisor Olga, took the information and said she will act..this was in June16  again in Sept16....never was this solved. Very disappointing.
This tourist needs to be compensated.
I will contact the branch manager the next step. Extremely poor handling. This Bank gave this Japanese visitor a BAD experience. Because she cant speak proper English she was not helped thus far.

This bank not only did not help her or solve the error they made also gave her lot of stress, financial loss, emotional stress bad reputation of them etc.  VERY BAD BRANCH",1
Lisa Jackson,a year ago,"The WORST banking experience EVER
Went in Thursday morning with cash clearly stated I was overdrawn there to pay my electric bill
The lady put the money into my account which then resorted in 3 people around one computer in which I waited one hr and half for them to try fix this problem for then to leave and tell me to come back
By the time I came back my electric had been CUT
There mistake cost $250 reconnection fee
This bank will always go down as a certified nightmare experience and I would definitely try and pre warn anywhere goto ANOTHER bank",1
H,4 years ago,"I hate Scotiabank. I have been waiting over 3 weeks for a payment reversal. That their international phone people said would be completed in one week. Everything moves slower at Scotiabank compared to RBC.

I will be moving everything I have at the Bank of Nova Scotia to RBC in the near future. It doesn't help that most of the people in their branches are miserable and do not make any effort to assist you.",1
Liam Wilkinson,5 years ago,Expect long lines during any peak hours and ill-informed staff. This branch seems unique in the uneducated intransigence of its staff. This might be on account of the seemingly high turnover among tellers but that is a poor excuse for given that all my experience have been with extremely straightforward requests.,1
Das Dastan,3 years ago,"My advice; when you see a 2 star rating, don't go there. I learned this the hard way!

From the moment I walked in to the time I left the bank after almost 2 hours, one inconvenient answer after the other. I am shocked to this day when I see businesses like this running in this country!

I had to wait most of the time at the front desk area, with the real feel temperature below -30 Celsius outside, every minute the door opened was like a torture.",1
matt yang,3 years ago,"Went to 2 branches, no advisor at all. Not sure if they are lazing around or what.  Should have listened to the reviews. I stop doing business with BMO, and I don't mind take my money and go to TD.",1
Sagar Rajgor,7 months ago,"Useless teller??, pathetic service! Because of this branch I feel like close all my accounts and credit with Scotiabank!",1
Kihuahua,a month ago,Horrible service: manager refused to help with request,1
Michael Zavarella,4 years ago,I??e been a customer for 11 years. They offer great service. Great products. Always safe and secure. They sponsor many wonderful things in the city and country. I wouldn?? really switch to any other bank. Even though they may be closer. As a top Realtor in Yorkville I need a company I can trust. This is that company.,5
A J,10 months ago,Unprofessional staff. With COVID as an excuse no employee feels accountable for any service they provide.,1
author,text,time,rating
Lin Yen Chin,2 years ago,The elder tellers are most perceptive and patient as they assist the best. There are a few ofnthe younger ones who've got similar ability.,5
A L,2 years ago,"Extremely poor customer service!so unprofessional. It took them 30mins to get me some paperwork, while it took less than 5 mins for TD and RBC across the street.",1
Ramjee S,2 years ago,"The slowest bank, I have been, employees need to know lot of people come for quick banking from work place and need to head back work, REALLY SUPER SLOW COMPETITION.",1
Medha Sharma,4 years ago,"Employees is this particular branch do not take customers seriously.  I went to this branch to update some account information a month back, however its still not updated and I am charged by the bank because they didnt do the necessary update.",1
Jonathan Pratt,a year ago,Went there to reversed and NSF charge. Said they won't do it. Worst bank in Canada. Don't bank here.,1
Ann A,3 years ago,"1st visit: The financial advisor I met here is not well trained
2nd visit: I visited this branch because this is the only location open after 5pm, arrived at 5:00pm but no financial advisor is in the branch",1
W H,3 years ago,"Came here to use the ABM, on a Sunday, they are closed at 3PM. BOTH the ABM machines do not work. This left myself and many others distressed and upset.

Not impressed.",1
Dina d,2 years ago,TERRIBLE! TERRIBLE! TERRIBLE! I wish this bank didn't exists at all. Probably the worst bank in Canada. DO NOT OPEN A BUSINESS BANK ACCOUNT HERE,1
Grey Byun,5 years ago,I was here today and I've got full support from the bank and there's nothing to be desired today. Finally I am very happy with this scotiabank.,5
Amir ??veis??Honarmand,3 years ago,"The teller, kelly, kept intrupting me to give me irrelevant advice. Very frustrating when someone is pretending to help, without listening to see what you are there for at all.",1
author,text,time,rating
Sam Sapson,2 years ago,Worst customer service. Jestina (the older brown lady) needs to get fired or a lesson in respect and customer service. Wont be back.,1
Dallas Pokornik,3 years ago,"Hours sorta suck for being a major bank in the middle of downtown Toronto.
Let alone being in the 4th largest city in North America...",2
Justin Park,a year ago,"Worst customer service ever, now I know so many people feel like me",1
LIFENG CAO,4 years ago,customer service is so bad! wanna open an account with them and they ask me to wait until 430pm. which is 3 hours waiting time!!!!,1
Cuong Tran,a year ago,Dont bother going here. The clerks are condescending and incompetent,1
Colin Fisher,5 years ago,Scotia is a garbage bank. Worst customer service and raging incompetence,1
Aiden Carnegie,10 months ago,Choose another bank - don't go here.,1
Mattison Chinneck,6 years ago,"They have been transferring money to the wrong account for months, the lines are always long. Stay away.",1
Yolly Guan,10 months ago,Staff was extremely rude never coming back,1
norm wright,3 years ago,Very friendly and accommodating staff! Always a pleasure to visit this location!!,5
author,text,time,rating
Cam Aziz,3 years ago,Opens at 9:30. Closes at 4. These must be unionized hours,2
Bindhya Sandeep,a year ago,Very bad and rude customer service,1
Nikola Simokovic,3 years ago,Incredibly incompetent staff from start to finish.,1
Derek Sutton,3 years ago,Impressive branch with very helpful staff,5
Harper T-W,3 years ago,I would give 0 stars if possible,1
Robert Paterson,5 years ago,Always slow and they close early.,3
Neil O'Keeffe,6 years ago,"new levels of incompetence, avoid at all costs.",1
Tiffanie Rolo,5 years ago,WORST SERVICE. refused to help,1
E Emily Pyfrom,5 years ago,Worst branch ever,1
Alexey Vasilenko,a year ago,Staff is rude,1
author,text,time,rating
Daniel Frohlich,5 months ago,"My mom and I dealt with a manager, and he gave my mother and I great service! What we needed help with was resolved in minutes!",5
Hannah Banana,a year ago,Unfortunately I am writing this review about an older lady who wears a wig and not the rest of the staff. She is unhelpful and condescending. She is dismissive in her body language and over all lacks a huge amount of professionalism. She talks in a high breathy innocent sounding voice to disguise her rudeness. I would recommend any one else here other then her the rest of the employees are very kind and helpful and this location is open later then most which is very helpful to those of us who work during banking hours.,2
Mabrook Muhammad,7 months ago,"I had the best client care at this location. Scotia bank representative Tanjoy Bajwa  with the bank accounts I was looking for. Tanjyot  also provided me free consultation and it really help me and my business
Guys go to this location and ask for Tanjoy you won?? regret the experience.",5
